Date,Close,High,Low,Open,Volume
3/18/1980,1.8207,1.8501,1.8207,1.8207,9343
3/19/1980,1.8207,1.8207,1.8207,1.8207,0
3/20/1980,1.8207,1.8501,1.8207,1.8207,10277
3/21/1980,1.8649,1.8944,1.8649,1.8649,8409
3/24/1980,1.8723,1.9017,1.8723,1.8723,2803
3/25/1980,1.8575,1.887,1.8575,1.8723,27095
3/26/1980,1.8575,1.887,1.8575,1.8575,1869
3/27/1980,1.8354,1.8649,1.8354,1.8575,14015
3/28/1980,1.828,1.8575,1.828,1.8354,36438
3/31/1980,1.828,1.8575,1.828,1.828,1869
4/1/1980,1.7985,1.828,1.7985,1.828,2803
4/2/1980,1.7838,1.8133,1.7838,1.7985,6540
4/3/1980,1.7838,1.7838,1.7838,1.7838,0
4/7/1980,1.7838,1.8133,1.7838,1.7838,934
4/8/1980,1.7838,1.8133,1.7838,1.7838,44846
4/9/1980,1.8428,1.8723,1.8428,1.8428,42044
4/10/1980,1.8649,1.8944,1.8649,1.8649,35503
4/11/1980,1.8575,1.887,1.8575,1.8649,59795
4/14/1980,1.8575,1.8575,1.8575,1.8575,0
4/15/1980,1.9165,1.946,1.9165,1.9165,1869
4/16/1980,1.9165,1.946,1.9165,1.9165,61664
4/17/1980,1.9165,1.9165,1.9165,1.9165,0
4/18/1980,1.887,1.9165,1.887,1.9165,1869
4/21/1980,1.887,1.9165,1.887,1.887,5606
4/22/1980,1.887,1.887,1.887,1.887,0
4/23/1980,1.9238,1.9533,1.9238,1.9238,24292
4/24/1980,1.9386,1.9681,1.9386,1.9386,934
4/25/1980,1.9533,1.9828,1.9533,1.9533,9343
4/28/1980,1.9754,2.0049,1.9754,1.9754,2803
4/29/1980,2.0049,2.0344,2.0049,2.0049,74744
4/30/1980,2.0123,2.0418,2.0123,2.0123,3737
5/1/1980,2.0197,2.0492,2.0197,2.0197,934
5/2/1980,2.0197,2.0197,2.0197,2.0197,0
5/5/1980,2.0344,2.0639,2.0344,2.0344,14015
5/6/1980,2.0786,2.1081,2.0786,2.0786,5606
5/7/1980,2.0786,2.0786,2.0786,2.0786,0
5/8/1980,2.086,2.1155,2.086,2.086,7474
5/9/1980,2.0934,2.1229,2.0934,2.0934,15883
5/12/1980,2.1376,2.1671,2.1376,2.1376,41109
5/13/1980,2.1376,2.1671,2.1376,2.1376,1869
5/14/1980,2.1376,2.1671,2.1376,2.1376,7474
5/15/1980,2.1376,2.1376,2.1376,2.1376,0
5/16/1980,2.086,2.1155,2.086,2.1155,55124
5/19/1980,2.1081,2.1376,2.1081,2.1081,29898
5/20/1980,2.1524,2.1818,2.1524,2.1524,934
5/21/1980,2.1671,2.1966,2.1671,2.1671,5606
5/22/1980,2.1671,2.1966,2.1671,2.1671,3737
5/23/1980,2.1892,2.2187,2.1892,2.1892,13080
5/27/1980,2.2113,2.2408,2.2113,2.2113,5606
5/28/1980,2.1818,2.2113,2.1818,2.2113,4672
5/29/1980,2.1818,2.1818,2.1818,2.1818,0
5/30/1980,2.1745,2.204,2.1745,2.1818,6540
6/2/1980,2.1818,2.2113,2.1818,2.1818,934
6/3/1980,2.1818,2.2113,2.1818,2.1818,18686
6/4/1980,2.1892,2.2187,2.1892,2.1892,8409
6/5/1980,2.1892,2.1892,2.1892,2.1892,0
6/6/1980,2.204,2.2334,2.204,2.204,2803
6/9/1980,2.2261,2.2555,2.2261,2.2261,8409
6/10/1980,2.2334,2.2629,2.2334,2.2334,2803
6/11/1980,2.2334,2.2334,2.2334,2.2334,0
6/16/1980,2.2408,2.2703,2.2408,2.2408,7474
6/17/1980,2.2261,2.2555,2.2261,2.2408,934
6/18/1980,2.2261,2.2261,2.2261,2.2261,0
6/19/1980,2.2261,2.2555,2.2261,2.2261,1869
6/24/1980,2.0786,2.1081,2.0786,2.1081,1869
6/26/1980,2.1361,2.1671,2.1361,2.1671,890
6/27/1980,2.1361,2.1361,2.1361,2.1361,0
6/30/1980,2.0665,2.0974,2.0665,2.0974,8008
7/1/1980,2.0433,2.0742,2.0433,2.0665,890
7/2/1980,2.0433,2.0742,2.0433,2.0433,3559
7/3/1980,2.0355,2.0665,2.0355,2.0433,3559
7/7/1980,2.02,2.0355,2.02,2.0355,890
7/8/1980,2.0123,2.0355,2.0123,2.02,9788
7/9/1980,2.02,2.0355,2.02,2.02,53389
7/10/1980,2.1671,2.1903,2.1671,2.1671,5339
7/11/1980,2.1671,2.1671,2.1671,2.1671,0
7/14/1980,2.0974,2.1207,2.0974,2.1207,7118
7/15/1980,2.082,2.0974,2.082,2.0974,1780
7/16/1980,2.082,2.082,2.082,2.082,0
7/17/1980,2.0974,2.1129,2.0974,2.0974,4449
7/18/1980,2.082,2.0974,2.082,2.0974,890
7/21/1980,2.0742,2.0897,2.0742,2.082,2669
7/22/1980,2.0742,2.0742,2.0742,2.0742,0
7/23/1980,2.051,2.0742,2.051,2.0742,890
7/24/1980,2.051,2.051,2.051,2.051,0
7/25/1980,2.0433,2.0587,2.0433,2.051,890
7/28/1980,2.0278,2.051,2.0278,2.0433,3559
7/29/1980,2.0278,2.0278,2.0278,2.0278,0
7/30/1980,2.0278,2.051,2.0278,2.0278,890
8/1/1980,2.0433,2.0587,2.0433,2.0433,890
8/4/1980,2.0587,2.0742,2.0587,2.0587,2669
8/5/1980,2.0433,2.0665,2.0433,2.0587,1780
8/6/1980,2.0433,2.0433,2.0433,2.0433,0
8/11/1980,2.0355,2.051,2.0355,2.0433,7118
8/12/1980,2.0665,2.0897,2.0665,2.0665,38262
8/13/1980,2.0742,2.0974,2.0742,2.0742,11568
8/14/1980,2.0897,2.1129,2.0897,2.0897,3559
8/15/1980,2.0897,2.0897,2.0897,2.0897,0
8/18/1980,2.1361,2.1439,2.1361,2.1361,1780
8/19/1980,2.1361,2.1516,2.1361,2.1361,1780
8/20/1980,2.1439,2.1671,2.1439,2.1439,8008
8/21/1980,2.1439,2.1671,2.1439,2.1439,10678
8/22/1980,2.1439,2.1439,2.1439,2.1439,0
8/25/1980,2.1594,2.1826,2.1594,2.1594,1780
8/26/1980,2.2058,2.229,2.2058,2.2058,3559
8/27/1980,2.1903,2.2058,2.1903,2.2058,19576
8/28/1980,2.1903,2.2135,2.1903,2.1903,890
8/29/1980,2.1903,2.1903,2.1903,2.1903,0
9/2/1980,2.1981,2.2213,2.1981,2.1981,7118
9/3/1980,2.1981,2.1981,2.1981,2.1981,0
9/4/1980,2.1981,2.2135,2.1981,2.1981,11568
9/5/1980,2.1826,2.2058,2.1826,2.1981,3559
9/8/1980,2.1826,2.1826,2.1826,2.1826,0
9/9/1980,2.1903,2.2213,2.1903,2.1903,4449
9/10/1980,2.1981,2.2058,2.1981,2.1981,1780
9/11/1980,2.2135,2.229,2.2135,2.2135,8008
9/12/1980,2.229,2.2368,2.229,2.229,12457
9/15/1980,2.3064,2.3219,2.3064,2.3064,6229
9/16/1980,2.3064,2.3296,2.3064,2.3064,5339
9/17/1980,2.3064,2.3219,2.3064,2.3064,1780
9/18/1980,2.2909,2.2987,2.2909,2.2987,1780
9/19/1980,2.2522,2.2677,2.2522,2.2677,1780
9/22/1980,2.1903,2.2058,2.1903,2.2058,3559
9/23/1980,2.1594,2.1748,2.1594,2.1748,9788
9/24/1980,2.1594,2.1748,2.1594,2.1594,890
9/25/1980,2.1748,2.1826,2.1748,2.1748,5339
9/26/1980,2.1748,2.1748,2.1748,2.1748,0
9/30/1980,2.1981,2.2058,2.1981,2.1981,7118
10/1/1980,2.229,2.229,2.229,2.229,28474
10/2/1980,2.2522,2.2755,2.2522,2.2522,23135
10/3/1980,2.3451,2.3606,2.3451,2.3451,55168
10/6/1980,2.4457,2.4612,2.4457,2.4457,10678
10/7/1980,2.4225,2.438,2.4225,2.438,6229
10/8/1980,2.4225,2.438,2.4225,2.4225,12457
10/9/1980,2.4148,2.4302,2.4148,2.4225,8898
10/10/1980,2.4225,2.4302,2.4225,2.4225,8008
10/13/1980,2.5309,2.5386,2.5309,2.5309,41821
10/14/1980,2.585,2.6005,2.585,2.585,26694
10/15/1980,2.6005,2.6237,2.6005,2.6005,31143
10/16/1980,2.616,2.6315,2.616,2.616,890
10/17/1980,2.6005,2.616,2.6005,2.616,3559
10/20/1980,2.5386,2.5541,2.5386,2.5541,1780
10/21/1980,2.5231,2.5386,2.5231,2.5386,8898
10/22/1980,2.5386,2.5541,2.5386,2.5386,4449
10/23/1980,2.4999,2.5154,2.4999,2.5154,4449
10/24/1980,2.4999,2.4999,2.4999,2.4999,0
10/27/1980,2.4535,2.4612,2.4535,2.4612,890
10/28/1980,2.438,2.4457,2.438,2.4457,7118
10/29/1980,2.438,2.438,2.438,2.438,0
10/30/1980,2.4535,2.4689,2.4535,2.4535,2669
10/31/1980,2.4535,2.4612,2.4535,2.4535,4449
11/3/1980,2.4457,2.4612,2.4457,2.4535,4449
11/5/1980,2.2909,2.3064,2.2909,2.3064,4449
11/6/1980,2.2909,2.2909,2.2909,2.2909,0
11/7/1980,2.26,2.2755,2.26,2.2755,14237
11/10/1980,2.3141,2.3219,2.3141,2.3141,73854
11/11/1980,2.2987,2.3064,2.2987,2.3064,6229
11/12/1980,2.2368,2.2522,2.2368,2.2522,3559
11/13/1980,2.229,2.26,2.229,2.2368,2669
11/14/1980,2.2135,2.2213,2.2135,2.2213,28474
11/17/1980,2.1981,2.2135,2.1981,2.2135,1780
11/18/1980,2.1516,2.1671,2.1516,2.1671,1780
11/19/1980,2.1594,2.1826,2.1594,2.1594,5339
11/20/1980,2.1826,2.1981,2.1826,2.1826,5339
11/21/1980,2.1671,2.1826,2.1671,2.1826,890
11/24/1980,2.1594,2.1826,2.1594,2.1671,1780
11/26/1980,2.1594,2.1594,2.1594,2.1594,0
11/28/1980,2.1516,2.1748,2.1516,2.1594,8898
12/1/1980,2.1361,2.1516,2.1361,2.1516,48050
12/2/1980,2.1439,2.1671,2.1439,2.1439,46270
12/3/1980,2.1439,2.1594,2.1439,2.1439,890
12/4/1980,2.1748,2.1903,2.1748,2.1748,6229
12/5/1980,2.1671,2.1826,2.1671,2.1748,20466
12/8/1980,2.2135,2.2213,2.2135,2.2135,38262
12/9/1980,2.1826,2.1981,2.1826,2.1981,2669
12/10/1980,2.1903,2.1981,2.1903,2.1903,6229
12/11/1980,2.1748,2.1981,2.1748,2.1903,1780
12/15/1980,2.1981,2.2135,2.1981,2.1981,1780
12/16/1980,2.1826,2.1981,2.1826,2.1981,5339
12/18/1980,2.1748,2.1903,2.1748,2.1826,7118
12/19/1980,2.1671,2.1748,2.1671,2.1748,6229
12/23/1980,2.1671,2.1826,2.1671,2.1671,7118
12/24/1980,2.1981,2.2058,2.1981,2.1981,4449
12/26/1980,2.1981,2.2213,2.1981,2.1981,3559
12/29/1980,2.2213,2.229,2.2213,2.2213,8898
12/30/1980,2.2213,2.2213,2.2213,2.2213,0
12/31/1980,2.26,2.2755,2.26,2.26,3559
1/2/1981,2.26,2.26,2.26,2.26,0
1/5/1981,2.2909,2.3064,2.2909,2.2909,7118
1/6/1981,2.3064,2.3141,2.3064,2.3064,12457
1/7/1981,2.2832,2.3064,2.2832,2.3064,1780
1/8/1981,2.2909,2.3064,2.2909,2.2909,4449
1/9/1981,2.2832,2.2987,2.2832,2.2909,1780
1/12/1981,2.2754,2.2909,2.2754,2.2832,1780
1/13/1981,2.2445,2.2677,2.2445,2.2677,1780
1/14/1981,2.26,2.2677,2.26,2.26,21355
1/15/1981,2.26,2.2755,2.26,2.26,8898
1/16/1981,2.26,2.2755,2.26,2.26,4449
1/19/1981,2.26,2.2832,2.26,2.26,1780
1/20/1981,2.2677,2.2832,2.2677,2.2677,6229
1/21/1981,2.2987,2.3141,2.2987,2.2987,4449
1/22/1981,2.2987,2.3064,2.2987,2.2987,8008
1/23/1981,2.2754,2.2909,2.2754,2.2909,1780
1/26/1981,2.26,2.2755,2.26,2.2755,3559
1/29/1981,2.2522,2.2755,2.2522,2.26,890
1/30/1981,2.2909,2.3064,2.2909,2.2909,8898
2/2/1981,2.3141,2.3374,2.3141,2.3141,9788
2/3/1981,2.3141,2.3141,2.3141,2.3141,0
2/5/1981,2.2909,2.2987,2.2909,2.2987,16017
2/9/1981,2.2677,2.2832,2.2677,2.2832,890
2/10/1981,2.2677,2.2832,2.2677,2.2677,2669
2/11/1981,2.26,2.2755,2.26,2.2677,10678
2/12/1981,2.2754,2.2909,2.2754,2.2754,3559
2/13/1981,2.2754,2.2754,2.2754,2.2754,0
2/17/1981,2.2135,2.229,2.2135,2.229,1780
2/18/1981,2.2058,2.2213,2.2058,2.2135,1780
2/19/1981,2.1748,2.1903,2.1748,2.1903,8008
2/20/1981,2.1594,2.1826,2.1594,2.1748,16906
2/23/1981,2.1361,2.1594,2.1361,2.1594,1780
2/26/1981,2.1594,2.1748,2.1594,2.1594,3559
2/27/1981,2.1439,2.1594,2.1439,2.1594,1780
3/2/1981,2.1439,2.1594,2.1439,2.1439,7118
3/4/1981,2.2522,2.2755,2.2522,2.2522,49829
3/5/1981,2.2677,2.2832,2.2677,2.2677,18686
3/6/1981,2.3838,2.3993,2.3838,2.3838,8008
3/9/1981,2.3374,2.3606,2.3374,2.3606,890
3/10/1981,2.3374,2.3528,2.3374,2.3374,3559
3/11/1981,2.3141,2.3296,2.3141,2.3296,10678
3/12/1981,2.3141,2.3296,2.3141,2.3141,26694
3/13/1981,2.3141,2.3374,2.3141,2.3141,13347
3/16/1981,2.4612,2.4689,2.4612,2.4612,14237
3/17/1981,2.438,2.4535,2.438,2.4535,3559
3/18/1981,2.4457,2.4689,2.4457,2.4457,5339
3/19/1981,2.4457,2.4457,2.4457,2.4457,0
3/20/1981,2.4612,2.4767,2.4612,2.4612,14237
3/23/1981,2.5386,2.5463,2.5386,2.5386,8008
3/24/1981,2.5696,2.585,2.5696,2.5696,41821
3/25/1981,2.5696,2.5773,2.5696,2.5696,16017
3/26/1981,2.4457,2.4689,2.4457,2.4689,6229
3/27/1981,2.4148,2.438,2.4148,2.438,1780
3/30/1981,2.4148,2.438,2.4148,2.4148,2669
3/31/1981,2.407,2.4302,2.407,2.4148,1780
4/1/1981,2.4767,2.4844,2.4767,2.4767,34703
4/2/1981,2.5231,2.5386,2.5231,2.5231,30254
4/3/1981,2.4999,2.5231,2.4999,2.5231,6229
4/6/1981,2.4922,2.5076,2.4922,2.4999,11568
4/7/1981,2.5231,2.5386,2.5231,2.5231,9788
4/8/1981,2.7785,2.794,2.7785,2.7785,30254
4/9/1981,2.7166,2.7398,2.7166,2.7398,12457
4/10/1981,2.6392,2.6547,2.6392,2.6547,17796
4/13/1981,2.8017,2.8172,2.8017,2.8017,14237
4/14/1981,2.8327,2.8482,2.8327,2.8327,19576
4/15/1981,2.7398,2.7553,2.7398,2.7553,890
4/16/1981,2.8017,2.8172,2.8017,2.8017,1780
4/20/1981,2.7785,2.8017,2.7785,2.8017,2669
4/21/1981,2.8559,2.8791,2.8559,2.8559,16017
4/22/1981,3.1578,3.1655,3.1578,3.1578,27584
4/23/1981,3.0339,3.0572,3.0339,3.0572,6229
4/24/1981,3.003,3.0185,3.003,3.0185,15127
4/27/1981,2.9411,2.9488,2.9411,2.9488,13347
4/28/1981,3.0262,3.0339,3.0262,3.0262,3559
4/29/1981,3.0185,3.0339,3.0185,3.0262,8898
4/30/1981,3.0958,3.1191,3.0958,3.0958,20466
5/1/1981,3.2816,3.2971,3.2816,3.2816,2669
5/4/1981,3.0958,3.1191,3.0958,3.1191,22245
5/5/1981,3.0649,3.0881,3.0649,3.0881,14237
5/6/1981,2.972,2.9875,2.972,2.9875,8008
5/7/1981,2.825,2.8404,2.825,2.8404,7118
5/8/1981,2.9024,2.9178,2.9024,2.9024,3559
5/11/1981,2.8404,2.8559,2.8404,2.8559,7118
5/12/1981,2.7553,2.7708,2.7553,2.7708,890
5/13/1981,2.8791,2.8946,2.8791,2.8791,42711
5/14/1981,2.7553,2.7708,2.7553,2.7708,31143
5/15/1981,2.6934,2.7166,2.6934,2.7166,2669
5/18/1981,2.647,2.6547,2.647,2.6547,4449
5/19/1981,2.5773,2.5928,2.5773,2.5928,890
5/20/1981,2.6934,2.7089,2.6934,2.6934,5339
5/21/1981,2.6702,2.6934,2.6702,2.6934,4449
5/22/1981,2.6083,2.6315,2.6083,2.6315,1780
5/26/1981,2.9952,3.0185,2.9952,2.9952,8898
5/27/1981,2.972,2.9952,2.972,2.9952,3559
5/28/1981,2.9256,2.9411,2.9256,2.9411,890
5/29/1981,2.9256,2.9488,2.9256,2.9256,4449
6/1/1981,3.1191,3.1423,3.1191,3.1191,26694
6/2/1981,3.0417,3.0649,3.0417,3.0649,890
6/3/1981,3.0107,3.0339,3.0107,3.0339,890
6/4/1981,2.9875,3.0107,2.9875,3.0107,1780
6/5/1981,2.9488,2.9643,2.9488,2.9643,890
6/8/1981,2.9488,2.9488,2.9488,2.9488,0
6/10/1981,3.2584,3.2739,3.2584,3.2584,22245
6/11/1981,3.2661,3.2739,3.2661,3.2661,13347
6/12/1981,3.5447,3.5602,3.5447,3.5447,43601
6/15/1981,3.9395,3.9549,3.9395,3.9395,145039
6/16/1981,3.7924,3.8156,3.7924,3.8156,9788
6/17/1981,3.7924,3.8002,3.7924,3.7924,32033
6/18/1981,3.7073,3.7228,3.7073,3.7228,32923
6/19/1981,3.6995,3.715,3.6995,3.7073,64956
6/22/1981,3.6531,3.6686,3.6531,3.6686,2669
6/23/1981,3.7615,3.7692,3.7615,3.7615,11568
6/24/1981,3.6299,3.6531,3.6299,3.6531,30254
6/25/1981,3.6763,3.6918,3.6763,3.6763,5339
6/26/1981,3.8311,3.8466,3.8311,3.8311,24915
6/29/1981,3.7924,3.8156,3.7924,3.8156,6229
6/30/1981,3.7615,3.7769,3.7615,3.7769,101438
7/1/1981,3.8853,3.9008,3.8853,3.8853,40042
7/2/1981,3.9317,3.9472,3.9317,3.9317,49829
7/6/1981,3.8543,3.8698,3.8543,3.8698,6229
7/7/1981,3.7382,3.7615,3.7382,3.7615,6229
